detector, descriptor, matcher, selector, det[ms], num_keypoints, desc[ms], match[ms], num_matchpts, det_err, des_err, mat_err
BRISK, BRISK, MAT_BF, SEL_NN, 115.339, 2706, 78.0211, 146.148, 1558, 0, 0, 0
BRISK, BRISK, MAT_BF, SEL_KNN, 115.852, 2706, 78.7087, 69.7997, 1426, 0, 0, 0
BRISK, BRISK, MAT_FLANN, SEL_NN, 114.896, 2706, 78.6215, 2308.99, 2716, 0, 0, 0
BRISK, BRISK, MAT_FLANN, SEL_KNN, 116.483, 2706, 79.4687, 2321.55, 1426, 0, 0, 0
BRISK, BRIEF, MAT_BF, SEL_NN, 120.505, 2706, 88.0788, 88.871, 1590, 0, 0, 0
BRISK, BRIEF, MAT_BF, SEL_KNN, 116.084, 2706, 88.7405, 46.0053, 1671, 0, 0, 0
BRISK, BRIEF, MAT_FLANN, SEL_NN, 116.854, 2706, 89.0781, 1625.51, 2687, 0, 0, 0
BRISK, BRIEF, MAT_FLANN, SEL_KNN, 114.659, 2706, 89.7281, 1630.66, 1671, 0, 0, 0
BRISK, ORB, MAT_BF, SEL_NN, 115.624, 2706, 99.0743, 89.5611, 1539, 0, 0, 0
BRISK, ORB, MAT_BF, SEL_KNN, 114.809, 2706, 99.7926, 41.7155, 1393, 0, 0, 0
BRISK, ORB, MAT_FLANN, SEL_NN, 115.54, 2706, 99.4362, 1081.77, 2674, 0, 0, 0
BRISK, ORB, MAT_FLANN, SEL_KNN, 117.15, 2706, 99.097, 1110.77, 1393, 0, 0, 0
BRISK, FREAK, MAT_BF, SEL_NN, 116.063, 2706, 130.225, 96.0375, 1391, 0, 0, 0
BRISK, FREAK, MAT_BF, SEL_KNN, 119.368, 2706, 131.057, 44.5711, 1323, 0, 0, 0
BRISK, FREAK, MAT_FLANN, SEL_NN, 119.392, 2706, 132.477, 2047.06, 2302, 0, 0, 0
BRISK, FREAK, MAT_FLANN, SEL_KNN, 119.036, 2706, 131.991, 1976.95, 1323, 0, 0, 0
BRISK, AKAZE, MAT_BF, SEL_NN, 119.617, 2706, 0, 0, 0, 0, 10, 0
BRISK, AKAZE, MAT_BF, SEL_KNN, 118.014, 2706, 0, 0, 0, 0, 10, 0
BRISK, AKAZE, MAT_FLANN, SEL_NN, 120.225, 2706, 0, 0, 0, 0, 10, 0
BRISK, AKAZE, MAT_FLANN, SEL_KNN, 119.284, 2706, 0, 0, 0, 0, 10, 0
BRISK, SIFT, MAT_BF, SEL_NN, 115.826, 2706, 913.298, 1858.03, 1581, 0, 0, 0
BRISK, SIFT, MAT_BF, SEL_KNN, 115.856, 2706, 910.079, 946.34, 1637, 0, 0, 0
BRISK, SIFT, MAT_FLANN, SEL_NN, 114.952, 2706, 909.937, 316.705, 2716, 0, 0, 0
BRISK, SIFT, MAT_FLANN, SEL_KNN, 114.576, 2706, 912.139, 329.189, 1693, 0, 0, 0
